datetime_created,count_retweet,count_favorite,statistic_importance,sentiment,count_follow,count_follower,count_tweet
2020-07-05,0,1,0.0,0,58,11,1153
2020-07-06,0,62,0.0,0,45,63,163
2020-07-06,16,3532,843.0,0,443,383096,376026
2020-07-06,13,3532,843.0,0,443,383096,376026
2020-07-06,0,49,0.0,0,1927,743,11547
2020-07-06,0,0,0.0,0,0,0,1
2020-07-07,0,798,0.0,0,367,91,1130
2020-07-06,0,9936,0.0,0,1475,606,10516
2020-07-07,0,1150,0.0,0,2352,1242,2194
2020-07-08,0,6135,0.0,0,515,306,8579
2020-07-08,2,589264,9.0,0,637,6669,37476
2020-07-08,0,434,0.0,0,87,16,168
2020-07-08,0,398,1.0,0,286,314,590
2020-07-08,0,34685,0.0,0,259,243,13367
2020-07-08,0,112673,0.0,0,4988,2853,85677
2020-07-08,0,2897,0.0,0,56,32,15097
2020-07-09,0,163,128.0,0,80,10274,38010
2020-07-08,0,13789,1.0,0,279,375,6212
2020-07-09,0,2983,177.0,0,1044,79579,12761
2020-07-10,0,29619,177.0,0,954,164408,217923
2020-07-10,0,688,8.0,0,822,7865,28302
2020-07-10,0,1301,124.0,0,493,74904,112338
2020-07-11,1,24587,0.0,0,1428,1099,9252
2020-07-11,0,28014,0.0,0,2329,1627,93851
2020-07-11,0,6475,0.0,0,673,598,9903
2020-07-11,0,18681,6.0,0,176,2059,19660
2020-07-12,1,2510,0.0,0,1006,176,1987
2020-07-12,0,489355,4.0,0,135,739,96979
2020-07-12,0,38936,4.0,0,54,325,5991
2020-07-12,1,6624,0.0,0,643,333,9078
2020-07-12,9,53808,1.0,0,3508,3501,86373
2020-07-12,0,3609,0.0,0,365,285,3391
2020-07-12,0,132,0.0,0,168,3,280
2020-07-13,0,83925,0.0,0,1066,940,20730
2020-07-13,0,16503,2.0,0,213,687,13465
2020-07-13,0,14537,1.0,0,617,880,27974
2020-07-14,0,3650,0.0,0,1139,797,15768
2020-07-14,0,4129,3.0,0,473,1873,4394
2020-07-15,0,251,67.0,0,301,26506,85367
2020-07-15,0,6050,0.0,0,210,178,9137
2020-07-14,0,6624,0.0,0,643,333,9078
2020-07-15,4,35715,5.0,0,333,1885,18212
2020-07-15,1,127857,1.0,0,802,813,32534
2020-07-15,0,127857,1.0,0,802,813,32534
2020-07-15,0,2767,1.0,0,1814,1989,1731
