datetime_created,count_retweet,count_favorite,statistic_importance,sentiment,count_follow,count_follower,count_tweet
2020-07-19,3,26470,27.0,-1,1013,16429,14491
2020-07-18,1,680,0.0,-1,340,46,602
2020-07-20,0,71316,1.0,-1,372,678,16222
2020-07-20,1,4307,98.0,-1,372,42097,7005
2020-07-20,0,1401,1.0,-1,896,1040,2023
2020-07-20,0,14561,2.0,-1,1298,3345,56312
2020-07-20,0,19807,1.0,-1,328,357,11175
2020-07-20,0,18,0.0,-1,147,33,86
2020-07-20,0,21,0.0,-1,915,827,24835
2020-07-20,0,3541,0.0,-1,64,63,1351
2020-07-20,0,23,0.0,-1,219,170,28288
2020-07-21,0,55054,0.0,-1,3466,2206,15590
2020-07-21,0,1161,0.0,-1,2689,967,2320
2020-07-20,0,10334,0.0,-1,106,41,1631
2020-07-21,0,148679,0.0,-1,4998,2986,313444
2020-07-22,0,65163,2.0,-1,1101,1867,100777
2020-07-22,0,452,0.0,-1,1751,1384,31801
2020-07-22,0,10635,0.0,-1,1274,921,16127
2020-07-22,0,10397,0.0,-1,998,767,14942
2020-07-23,0,951,1.0,-1,1132,1278,3481
2020-07-23,0,66341,0.0,-1,2430,829,61077
2020-07-22,0,94195,0.0,-1,1008,725,25122
2020-07-23,1,32283,0.0,-1,4503,3235,46609
2020-07-23,0,56545,0.0,-1,402,266,25371
2020-07-23,0,721,0.0,-1,212,56,782
2020-07-23,0,570,0.0,-1,1725,1549,3518
2020-07-23,0,317694,0.0,-1,6163,9288,291254
2020-07-23,0,144,0.0,-1,73,6,24
2020-07-24,0,2386,7.0,-1,589,4653,22314
2020-07-24,1,56329,1.0,-1,7943,8676,19613
2020-07-24,0,0,0.0,-1,0,3,37
2020-07-24,0,11876,0.0,-1,761,260,8620
2020-07-24,0,15,0.0,-1,646,281,733
2020-07-25,1,33340,1.0,-1,737,1141,65405
2020-07-25,0,250,0.0,-1,2715,1999,146967
2020-07-25,0,7174,0.0,-1,340,105,7222
2020-07-25,0,46139,1.0,-1,1677,1679,23894
